ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1+StopWordRemoval,FNS31053,SYSTEM1.TXT,0.66897,0.12118,0.20520,3

ROUGE-2+StopWordRemoval,FNS31053,SYSTEM1.TXT,0.30121,0.03689,0.06573,3

ROUGE-SU4+StopWordRemoval,FNS31053,SYSTEM1.TXT,0.42195,0.04945,0.08852,3

ROUGE-L+StopWordRemoval,FNS32384,SYSTEM1.TXT,0.67983,0.17901,0.28340,3

ROUGE-1+StopWordRemoval,FNS32384,SYSTEM1.TXT,0.79690,0.06775,0.12488,3

ROUGE-2+StopWordRemoval,FNS32384,SYSTEM1.TXT,0.36283,0.02396,0.04495,3

ROUGE-SU4+StopWordRemoval,FNS32384,SYSTEM1.TXT,0.50595,0.02850,0.05396,3

ROUGE-L+StopWordRemoval,FNS32021,SYSTEM1.TXT,0.56270,0.18888,0.28282,4

ROUGE-1+StopWordRemoval,FNS32021,SYSTEM1.TXT,0.70987,0.12675,0.21510,4

ROUGE-2+StopWordRemoval,FNS32021,SYSTEM1.TXT,0.39833,0.04486,0.08063,4

ROUGE-SU4+StopWordRemoval,FNS32021,SYSTEM1.TXT,0.49075,0.05397,0.09725,4

ROUGE-L+StopWordRemoval,FNS32143,SYSTEM1.TXT,0.64315,0.14888,0.24179,3

ROUGE-1+StopWordRemoval,FNS32143,SYSTEM1.TXT,0.77959,0.07559,0.13782,3

ROUGE-2+StopWordRemoval,FNS32143,SYSTEM1.TXT,0.37228,0.02948,0.05463,3

ROUGE-SU4+StopWordRemoval,FNS32143,SYSTEM1.TXT,0.50671,0.03378,0.06333,3

ROUGE-L+StopWordRemoval,FNS32144,SYSTEM1.TXT,0.54504,0.22695,0.32046,3

ROUGE-1+StopWordRemoval,FNS32144,SYSTEM1.TXT,0.64016,0.22673,0.33487,3

ROUGE-2+StopWordRemoval,FNS32144,SYSTEM1.TXT,0.28409,0.09780,0.14551,3

ROUGE-SU4+StopWordRemoval,FNS32144,SYSTEM1.TXT,0.39046,0.11475,0.17737,3

ROUGE-L+StopWordRemoval,FNS30888,SYSTEM1.TXT,0.64672,0.14674,0.23921,3

ROUGE-1+StopWordRemoval,FNS30888,SYSTEM1.TXT,0.74575,0.08726,0.15624,3

ROUGE-2+StopWordRemoval,FNS30888,SYSTEM1.TXT,0.32304,0.03207,0.05835,3

ROUGE-SU4+StopWordRemoval,FNS30888,SYSTEM1.TXT,0.46753,0.03939,0.07265,3

ROUGE-L+StopWordRemoval,FNS31857,SYSTEM1.TXT,0.50444,0.13918,0.21817,4

ROUGE-1+StopWordRemoval,FNS31857,SYSTEM1.TXT,0.65553,0.08482,0.15021,4

ROUGE-2+StopWordRemoval,FNS31857,SYSTEM1.TXT,0.28521,0.02739,0.04998,4

ROUGE-SU4+StopWordRemoval,FNS31857,SYSTEM1.TXT,0.41242,0.03190,0.05923,4

ROUGE-L+StopWordRemoval,FNS32825,SYSTEM1.TXT,0.65817,0.14054,0.23162,3

ROUGE-1+StopWordRemoval,FNS32825,SYSTEM1.TXT,0.77543,0.04441,0.08400,3

ROUGE-2+StopWordRemoval,FNS32825,SYSTEM1.TXT,0.35928,0.01462,0.02809,3

ROUGE-SU4+StopWordRemoval,FNS32825,SYSTEM1.TXT,0.52644,0.01684,0.03263,3

ROUGE-L+StopWordRemoval,FNS31979,SYSTEM1.TXT,0.62100,0.12898,0.21359,3

ROUGE-1+StopWordRemoval,FNS31979,SYSTEM1.TXT,0.75362,0.05919,0.10976,3

ROUGE-2+StopWordRemoval,FNS31979,SYSTEM1.TXT,0.35236,0.01867,0.03547,3

ROUGE-SU4+StopWordRemoval,FNS31979,SYSTEM1.TXT,0.46675,0.02527,0.04795,3

ROUGE-L+StopWordRemoval,FNS31617,SYSTEM1.TXT,0.71759,0.10826,0.18813,4

ROUGE-1+StopWordRemoval,FNS31617,SYSTEM1.TXT,0.83103,0.05649,0.10579,4

ROUGE-2+StopWordRemoval,FNS31617,SYSTEM1.TXT,0.36906,0.02306,0.04340,4

ROUGE-SU4+StopWordRemoval,FNS31617,SYSTEM1.TXT,0.50899,0.02698,0.05125,4

ROUGE-L+StopWordRemoval,FNS31618,SYSTEM1.TXT,0.63092,0.17489,0.27387,3

ROUGE-1+StopWordRemoval,FNS31618,SYSTEM1.TXT,0.76604,0.12379,0.21314,3

ROUGE-2+StopWordRemoval,FNS31618,SYSTEM1.TXT,0.48715,0.04666,0.08516,3

ROUGE-SU4+StopWordRemoval,FNS31618,SYSTEM1.TXT,0.56746,0.05247,0.09606,3

ROUGE-L+StopWordRemoval,FNS31023,SYSTEM1.TXT,0.57927,0.17624,0.27026,3

ROUGE-1+StopWordRemoval,FNS31023,SYSTEM1.TXT,0.73272,0.15245,0.25239,3

ROUGE-2+StopWordRemoval,FNS31023,SYSTEM1.TXT,0.36094,0.05889,0.10126,3

ROUGE-SU4+StopWordRemoval,FNS31023,SYSTEM1.TXT,0.47329,0.07377,0.12764,3

ROUGE-L+StopWordRemoval,FNS31265,SYSTEM1.TXT,0.47571,0.15884,0.23816,4

ROUGE-1+StopWordRemoval,FNS31265,SYSTEM1.TXT,0.61293,0.06840,0.12307,4

ROUGE-2+StopWordRemoval,FNS31265,SYSTEM1.TXT,0.23767,0.02036,0.03750,4

ROUGE-SU4+StopWordRemoval,FNS31265,SYSTEM1.TXT,0.37401,0.02807,0.05222,4

ROUGE-L+StopWordRemoval,FNS32113,SYSTEM1.TXT,0.50442,0.18291,0.26847,4

ROUGE-1+StopWordRemoval,FNS32113,SYSTEM1.TXT,0.64489,0.14002,0.23008,4

ROUGE-2+StopWordRemoval,FNS32113,SYSTEM1.TXT,0.24244,0.03894,0.06710,4

ROUGE-SU4+StopWordRemoval,FNS32113,SYSTEM1.TXT,0.38217,0.05525,0.09654,4

ROUGE-L+StopWordRemoval,FNS32597,SYSTEM1.TXT,0.55395,0.11281,0.18745,4

ROUGE-1+StopWordRemoval,FNS32597,SYSTEM1.TXT,0.71715,0.07122,0.12958,4

ROUGE-2+StopWordRemoval,FNS32597,SYSTEM1.TXT,0.37716,0.02831,0.05267,4

ROUGE-SU4+StopWordRemoval,FNS32597,SYSTEM1.TXT,0.50204,0.03063,0.05773,4

ROUGE-L+StopWordRemoval,FNS32355,SYSTEM1.TXT,0.56549,0.15446,0.24264,3

ROUGE-1+StopWordRemoval,FNS32355,SYSTEM1.TXT,0.72539,0.09336,0.16542,3

ROUGE-2+StopWordRemoval,FNS32355,SYSTEM1.TXT,0.28885,0.03062,0.05538,3

ROUGE-SU4+StopWordRemoval,FNS32355,SYSTEM1.TXT,0.42176,0.04092,0.07460,3

ROUGE-L+StopWordRemoval,FNS31146,SYSTEM1.TXT,0.54908,0.14204,0.22569,3

ROUGE-1+StopWordRemoval,FNS31146,SYSTEM1.TXT,0.74815,0.06276,0.11581,3

ROUGE-2+StopWordRemoval,FNS31146,SYSTEM1.TXT,0.35190,0.02275,0.04274,3

ROUGE-SU4+StopWordRemoval,FNS31146,SYSTEM1.TXT,0.47218,0.02653,0.05024,3

ROUGE-L+StopWordRemoval,FNS31026,SYSTEM1.TXT,0.54018,0.12164,0.19857,3

ROUGE-1+StopWordRemoval,FNS31026,SYSTEM1.TXT,0.68597,0.06140,0.11272,3

ROUGE-2+StopWordRemoval,FNS31026,SYSTEM1.TXT,0.27357,0.01999,0.03725,3

ROUGE-SU4+StopWordRemoval,FNS31026,SYSTEM1.TXT,0.43109,0.02570,0.04850,3

ROUGE-L+StopWordRemoval,FNS32236,SYSTEM1.TXT,0.38225,0.21667,0.27657,3

ROUGE-1+StopWordRemoval,FNS32236,SYSTEM1.TXT,0.58759,0.15473,0.24496,3

ROUGE-2+StopWordRemoval,FNS32236,SYSTEM1.TXT,0.22161,0.05318,0.08577,3

ROUGE-SU4+StopWordRemoval,FNS32236,SYSTEM1.TXT,0.31190,0.06971,0.11395,3

ROUGE-L+StopWordRemoval,FNS32599,SYSTEM1.TXT,0.47992,0.16244,0.24272,5

ROUGE-1+StopWordRemoval,FNS32599,SYSTEM1.TXT,0.67419,0.07438,0.13398,5

ROUGE-2+StopWordRemoval,FNS32599,SYSTEM1.TXT,0.27539,0.02252,0.04164,5

ROUGE-SU4+StopWordRemoval,FNS32599,SYSTEM1.TXT,0.41508,0.02785,0.05220,5

ROUGE-L+StopWordRemoval,FNS31940,SYSTEM1.TXT,0.70275,0.10575,0.18383,4

ROUGE-1+StopWordRemoval,FNS31940,SYSTEM1.TXT,0.80501,0.03463,0.06641,4

ROUGE-2+StopWordRemoval,FNS31940,SYSTEM1.TXT,0.43402,0.01285,0.02497,4

ROUGE-SU4+StopWordRemoval,FNS31940,SYSTEM1.TXT,0.53771,0.01473,0.02867,4

ROUGE-L+StopWordRemoval,FNS32116,SYSTEM1.TXT,0.65231,0.11410,0.19422,3

ROUGE-1+StopWordRemoval,FNS32116,SYSTEM1.TXT,0.78008,0.05357,0.10026,3

ROUGE-2+StopWordRemoval,FNS32116,SYSTEM1.TXT,0.34451,0.01884,0.03573,3

